Value Date,Description,Ref No./Cheque No.,Debit,Credit,Balance
16 Jul 2024,BY TRANSFER-UPI/CR/430204298398/MS SANJE/SBIN/write2same/Dr Re--,TRANSFER FROM 4897690162095,,1562.43,11911.07
27 Sep 2024,TO TRANSFER-UPI/DR/440217983916/SANJEEV S/AXIS/rahuldixit/UPI--,TRANSFER TO 4897690162095,4284.28,,7626.79
9 Jul 2024,TO TRANSFER-UPI/DR/407417952517/SAGAR MO/YESB/write2same/UPI--,TRANSFER TO 4897690162095,2403.34,,5223.45
5 Sep 2024,BY TRANSFER-UPI/CR/462641897874/ROHIT T/KKBK/rohit@okhdfc/Dr Re--,TRANSFER FROM 9137022807,,2168.7,7392.15
12 Sep 2024,BY TRANSFER-UPI/CR/472910036184/PRIYA K/SBIN/rahuldixit/Dr Re--,TRANSFER FROM 7382910045,,2285.26,9677.41
30 Jul 2024,TO TRANSFER-UPI/DR/408348753784/SANJEEV S/YESB/rahuldixit/UPI--,TRANSFER TO 8974521398,3787.8,,5889.61
10 Aug 2024,TO TRANSFER-UPI/DR/403366418350/ROHIT T/HDFC/rahuldixit/UPI--,TRANSFER TO 4897690162095,3487.22,,2402.39
23 Sep 2024,TO TRANSFER-UPI/DR/463804783893/ROHIT T/AXIS/write2same/UPI--,TRANSFER TO 9137022807,401.51,,2000.88
14 Jul 2024,TO TRANSFER-UPI/DR/461482712530/ANITA P/UBI/spawar3290/UPI--,TRANSFER TO 4897732162091,4122.93,,-2122.05
20 Aug 2024,BY TRANSFER-UPI/CR/475556594842/ROHIT T/KKBK/rohit@okhdfc/Dr Re--,TRANSFER FROM 7382910045,,2750.28,628.23
3 Jul 2024,TO TRANSFER-UPI/DR/454915296178/SANJEEV S/AXIS/spawar3290/UPI--,TRANSFER TO 7382910045,460.49,,167.74
18 Jul 2024,TO TRANSFER-UPI/DR/410779769471/ROHIT T/ICIC/rahuldixit/UPI--,TRANSFER TO 4897690162095,3869.32,,-3701.58
31 Aug 2024,BY TRANSFER-UPI/CR/443864410582/ROHIT T/ICIC/rahuldixit/Dr Re--,TRANSFER FROM 7382910045,,2441.0,-1260.58
7 Sep 2024,TO TRANSFER-UPI/DR/466812916366/ROHIT T/IDIB/rohit@okhdfc/UPI--,TRANSFER TO 4897732162091,600.47,,-1861.05
30 Aug 2024,BY TRANSFER-UPI/CR/445535443570/MS SANJE/KKBK/rohit@okhdfc/Dr Re--,TRANSFER FROM 8974521398,,4214.42,2353.37
20 Sep 2024,TO TRANSFER-UPI/DR/416634565058/RAHUL D/ICIC/rohit@okhdfc/UPI--,TRANSFER TO 4897690162095,1379.51,,973.86
23 Aug 2024,TO TRANSFER-UPI/DR/436405329235/RAHUL D/IDIB/spawar3290/UPI--,TRANSFER TO 4897690162095,844.89,,128.97
17 Sep 2024,TO TRANSFER-UPI/DR/421112518076/PRIYA K/KKBK/rahuldixit/UPI--,TRANSFER TO 9137022807,1175.12,,-1046.15
10 Aug 2024,TO TRANSFER-UPI/DR/432982901021/ANITA P/SBIN/anitapawar/UPI--,TRANSFER TO 7382910045,1348.8,,-2394.95
16 Jul 2024,TO TRANSFER-UPI/DR/449766366098/RAHUL D/AXIS/anitapawar/UPI--,TRANSFER TO 9137022807,3957.1,,-6352.05
7 Aug 2024,TO TRANSFER-UPI/DR/498691656247/ROHIT T/KKBK/rahuldixit/UPI--,TRANSFER TO 4897690162095,4644.5,,-10996.55
26 Aug 2024,TO TRANSFER-UPI/DR/444789800048/RAHUL D/HDFC/rahuldixit/UPI--,TRANSFER TO 9137022807,3841.4,,-14837.95
2 Aug 2024,BY TRANSFER-UPI/CR/463893502352/SAGAR MO/IDIB/anitapawar/Dr Re--,TRANSFER FROM 8974521398,,2215.86,-12622.09
8 Sep 2024,BY TRANSFER-UPI/CR/421168802034/SAGAR MO/YESB/rahuldixit/Dr Re--,TRANSFER FROM 9137022807,,1181.73,-11440.36
29 Aug 2024,TO TRANSFER-UPI/DR/427462708661/SANJEEV S/PNB/anitapawar/UPI--,TRANSFER TO 4897732162091,1581.51,,-13021.87
30 Jul 2024,BY TRANSFER-UPI/CR/485101541589/SAGAR MO/KKBK/spawar3290/Dr Re--,TRANSFER FROM 9137022807,,4878.54,-8143.33
6 Sep 2024,TO TRANSFER-UPI/DR/432576529601/ANITA P/IDIB/rohit@okhdfc/UPI--,TRANSFER TO 9137022807,290.62,,-8433.95
11 Sep 2024,TO TRANSFER-UPI/DR/405790236960/MS SANJE/AXIS/rahuldixit/UPI--,TRANSFER TO 8974521398,472.74,,-8906.69
20 Aug 2024,TO TRANSFER-UPI/DR/425674983411/ROHIT T/PNB/write2same/UPI--,TRANSFER TO 4897690162095,2451.73,,-11358.42
9 Sep 2024,TO TRANSFER-UPI/DR/488365089914/ANITA P/AXIS/rohit@okhdfc/UPI--,TRANSFER TO 4897732162091,4806.31,,-16164.73
20 Aug 2024,TO TRANSFER-UPI/DR/428700496827/RAHUL D/AXIS/write2same/UPI--,TRANSFER TO 7382910045,2467.36,,-18632.09
30 Aug 2024,TO TRANSFER-UPI/DR/453294419099/SAGAR MO/ICIC/write2same/UPI--,TRANSFER TO 8974521398,3261.37,,-21893.46
28 Sep 2024,BY TRANSFER-UPI/CR/460225676622/ROHIT T/HDFC/spawar3290/Dr Re--,TRANSFER FROM 8974521398,,1552.58,-20340.88
2 Aug 2024,TO TRANSFER-UPI/DR/460033662861/SANJEEV S/YESB/rohit@okhdfc/UPI--,TRANSFER TO 4897732162091,2603.31,,-22944.19
25 Aug 2024,BY TRANSFER-UPI/CR/495907630063/SAGAR MO/KKBK/write2same/Dr Re--,TRANSFER FROM 8974521398,,3616.54,-19327.65
29 Sep 2024,BY TRANSFER-UPI/CR/451609860134/ROHIT T/SBIN/anitapawar/Dr Re--,TRANSFER FROM 4897732162091,,430.23,-18897.42
3 Aug 2024,BY TRANSFER-UPI/CR/434464397296/MS SANJE/AXIS/rohit@okhdfc/Dr Re--,TRANSFER FROM 4897732162091,,633.56,-18263.86
16 Sep 2024,BY TRANSFER-UPI/CR/401881904674/SAGAR MO/BOI/write2same/Dr Re--,TRANSFER FROM 7382910045,,3980.04,-14283.82
10 Aug 2024,BY TRANSFER-UPI/CR/450933190188/SANJEEV S/IDIB/write2same/Dr Re--,TRANSFER FROM 9137022807,,4422.43,-9861.39
20 Jul 2024,TO TRANSFER-UPI/DR/436720386978/SANJEEV S/BOI/write2same/UPI--,TRANSFER TO 9137022807,2821.83,,-12683.22
20 Jul 2024,TO TRANSFER-UPI/DR/463309933389/SANJEEV S/AXIS/anitapawar/UPI--,TRANSFER TO 4897732162091,4409.18,,-17092.4
8 Sep 2024,BY TRANSFER-UPI/CR/493624768975/ROHIT T/IDIB/rohit@okhdfc/Dr Re--,TRANSFER FROM 8974521398,,2351.42,-14740.98
6 Aug 2024,BY TRANSFER-UPI/CR/474809904023/MS SANJE/BOI/spawar3290/Dr Re--,TRANSFER FROM 8974521398,,4450.84,-10290.14
20 Jul 2024,BY TRANSFER-UPI/CR/480928475781/ANITA P/HDFC/write2same/Dr Re--,TRANSFER FROM 8974521398,,3620.49,-6669.65
5 Jul 2024,TO TRANSFER-UPI/DR/469220501113/ROHIT T/UBI/write2same/UPI--,TRANSFER TO 9137022807,1350.12,,-8019.77
22 Jul 2024,BY TRANSFER-UPI/CR/488763996068/SAGAR MO/UBI/rohit@okhdfc/Dr Re--,TRANSFER FROM 9137022807,,64.04,-7955.73
21 Jul 2024,BY TRANSFER-UPI/CR/450890283385/ROHIT T/PNB/rohit@okhdfc/Dr Re--,TRANSFER FROM 7382910045,,1641.83,-6313.9
18 Jul 2024,TO TRANSFER-UPI/DR/467873934420/ROHIT T/BOI/spawar3290/UPI--,TRANSFER TO 8974521398,3778.42,,-10092.32
24 Aug 2024,TO TRANSFER-UPI/DR/422804854617/ANITA P/AXIS/spawar3290/UPI--,TRANSFER TO 4897732162091,3457.71,,-13550.03
25 Sep 2024,TO TRANSFER-UPI/DR/497056372784/ANITA P/IDIB/rahuldixit/UPI--,TRANSFER TO 7382910045,1689.94,,-15239.97
9 Jul 2024,BY TRANSFER-UPI/CR/481579029041/ROHIT T/SBIN/write2same/Dr Re--,TRANSFER FROM 7382910045,,2944.23,-12295.74
3 Jul 2024,TO TRANSFER-UPI/DR/456731219969/RAHUL D/PNB/rahuldixit/UPI--,TRANSFER TO 9137022807,4047.77,,-16343.51
19 Sep 2024,TO TRANSFER-UPI/DR/438497515552/SAGAR MO/BOI/rahuldixit/UPI--,TRANSFER TO 4897732162091,4353.85,,-20697.36
30 Sep 2024,BY TRANSFER-UPI/CR/403473594910/RAHUL D/BOI/rahuldixit/Dr Re--,TRANSFER FROM 7382910045,,1832.8,-18864.56
8 Jul 2024,BY TRANSFER-UPI/CR/430871704724/RAHUL D/ICIC/rohit@okhdfc/Dr Re--,TRANSFER FROM 7382910045,,3203.79,-15660.77
20 Aug 2024,BY TRANSFER-UPI/CR/455151758629/RAHUL D/UBI/spawar3290/Dr Re--,TRANSFER FROM 9137022807,,450.78,-15209.99
4 Aug 2024,BY TRANSFER-UPI/CR/462537915665/SANJEEV S/SBIN/rahuldixit/Dr Re--,TRANSFER FROM 9137022807,,1998.22,-13211.77
22 Jul 2024,TO TRANSFER-UPI/DR/493121890543/RAHUL D/IDIB/anitapawar/UPI--,TRANSFER TO 4897732162091,2397.02,,-15608.79
23 Sep 2024,BY TRANSFER-UPI/CR/403732421434/SAGAR MO/BOI/anitapawar/Dr Re--,TRANSFER FROM 4897690162095,,1373.27,-14235.52
2 Jul 2024,TO TRANSFER-UPI/DR/429892935724/ROHIT T/KKBK/spawar3290/UPI--,TRANSFER TO 7382910045,4164.34,,-18399.86
7 Sep 2024,BY TRANSFER-UPI/CR/474213676481/RAHUL D/AXIS/rohit@okhdfc/Dr Re--,TRANSFER FROM 8974521398,,1295.16,-17104.7
6 Jul 2024,TO TRANSFER-UPI/DR/431375835160/RAHUL D/UBI/write2same/UPI--,TRANSFER TO 8974521398,1088.74,,-18193.44
6 Jul 2024,BY TRANSFER-UPI/CR/484832263817/ANITA P/UBI/rohit@okhdfc/Dr Re--,TRANSFER FROM 8974521398,,520.18,-17673.26
18 Jul 2024,TO TRANSFER-UPI/DR/453557763942/SANJEEV S/HDFC/anitapawar/UPI--,TRANSFER TO 9137022807,699.6,,-18372.86
15 Jul 2024,TO TRANSFER-UPI/DR/449801570470/RAHUL D/BOI/spawar3290/UPI--,TRANSFER TO 9137022807,2491.55,,-20864.41
11 Sep 2024,BY TRANSFER-UPI/CR/468057958709/ROHIT T/ICIC/rohit@okhdfc/Dr Re--,TRANSFER FROM 4897732162091,,4529.36,-16335.05
4 Aug 2024,BY TRANSFER-UPI/CR/443802408530/RAHUL D/UBI/anitapawar/Dr Re--,TRANSFER FROM 9137022807,,597.86,-15737.19
21 Aug 2024,TO TRANSFER-UPI/DR/494953247870/RAHUL D/IDIB/anitapawar/UPI--,TRANSFER TO 4897732162091,2423.43,,-18160.62
5 Jul 2024,BY TRANSFER-UPI/CR/487028958828/ROHIT T/IDIB/rohit@okhdfc/Dr Re--,TRANSFER FROM 4897732162091,,2390.32,-15770.3
10 Aug 2024,BY TRANSFER-UPI/CR/495176655976/SAGAR MO/BOI/rohit@okhdfc/Dr Re--,TRANSFER FROM 4897732162091,,778.55,-14991.75
18 Aug 2024,TO TRANSFER-UPI/DR/438472283414/ANITA P/ICIC/anitapawar/UPI--,TRANSFER TO 4897690162095,4075.29,,-19067.04
7 Jul 2024,TO TRANSFER-UPI/DR/446292831287/ROHIT T/UBI/rahuldixit/UPI--,TRANSFER TO 4897690162095,1931.14,,-20998.18
1 Jul 2024,BY TRANSFER-UPI/CR/459375512263/ROHIT T/YESB/spawar3290/Dr Re--,TRANSFER FROM 8974521398,,3647.6,-17350.58
2 Jul 2024,TO TRANSFER-UPI/DR/496142461692/SAGAR MO/HDFC/rohit@okhdfc/UPI--,TRANSFER TO 9137022807,2310.61,,-19661.19
27 Jul 2024,BY TRANSFER-UPI/CR/447468756524/SANJEEV S/BOI/spawar3290/Dr Re--,TRANSFER FROM 8974521398,,2942.04,-16719.15
4 Sep 2024,TO TRANSFER-UPI/DR/429683407981/MS SANJE/KKBK/spawar3290/UPI--,TRANSFER TO 4897690162095,1627.32,,-18346.47
20 Aug 2024,TO TRANSFER-UPI/DR/487202036313/MS SANJE/KKBK/rohit@okhdfc/UPI--,TRANSFER TO 4897690162095,2871.56,,-21218.03
20 Jul 2024,BY TRANSFER-UPI/CR/479415815309/SAGAR MO/ICIC/write2same/Dr Re--,TRANSFER FROM 4897690162095,,2058.34,-19159.69
29 Aug 2024,TO TRANSFER-UPI/DR/430728335465/SAGAR MO/AXIS/anitapawar/UPI--,TRANSFER TO 7382910045,4752.33,,-23912.02
18 Sep 2024,TO TRANSFER-UPI/DR/462190153229/ANITA P/PNB/anitapawar/UPI--,TRANSFER TO 4897690162095,3148.68,,-27060.7
3 Sep 2024,TO TRANSFER-UPI/DR/463096638566/MS SANJE/BOI/rahuldixit/UPI--,TRANSFER TO 7382910045,228.81,,-27289.51
14 Sep 2024,BY TRANSFER-UPI/CR/498145926711/SANJEEV S/YESB/spawar3290/Dr Re--,TRANSFER FROM 7382910045,,1478.4,-25811.11
7 Jul 2024,TO TRANSFER-UPI/DR/490059761948/MS SANJE/SBIN/rohit@okhdfc/UPI--,TRANSFER TO 4897732162091,389.58,,-26200.69
27 Sep 2024,BY TRANSFER-UPI/CR/428885047992/ANITA P/HDFC/write2same/Dr Re--,TRANSFER FROM 4897690162095,,2699.12,-23501.57
21 Sep 2024,BY TRANSFER-UPI/CR/444327968469/ROHIT T/BOI/write2same/Dr Re--,TRANSFER FROM 9137022807,,4197.65,-19303.92
28 Jul 2024,BY TRANSFER-UPI/CR/427097022332/MS SANJE/UBI/rohit@okhdfc/Dr Re--,TRANSFER FROM 8974521398,,1502.94,-17800.98
22 Aug 2024,TO TRANSFER-UPI/DR/438059658367/PRIYA K/AXIS/rahuldixit/UPI--,TRANSFER TO 4897732162091,502.13,,-18303.11
11 Aug 2024,TO TRANSFER-UPI/DR/423370418545/ROHIT T/KKBK/spawar3290/UPI--,TRANSFER TO 8974521398,2307.69,,-20610.8
30 Sep 2024,BY TRANSFER-UPI/CR/428373155680/ROHIT T/SBIN/anitapawar/Dr Re--,TRANSFER FROM 8974521398,,3004.58,-17606.22
9 Aug 2024,TO TRANSFER-UPI/DR/498699536742/ANITA P/AXIS/write2same/UPI--,TRANSFER TO 9137022807,1311.82,,-18918.04
27 Jul 2024,BY TRANSFER-UPI/CR/486329538437/MS SANJE/PNB/spawar3290/Dr Re--,TRANSFER FROM 9137022807,,1240.55,-17677.49
27 Aug 2024,BY TRANSFER-UPI/CR/439957732166/ROHIT T/UBI/rohit@okhdfc/Dr Re--,TRANSFER FROM 9137022807,,1763.9,-15913.59
7 Aug 2024,TO TRANSFER-UPI/DR/422887433178/SAGAR MO/AXIS/spawar3290/UPI--,TRANSFER TO 4897690162095,831.55,,-16745.14
25 Aug 2024,TO TRANSFER-UPI/DR/459542992793/MS SANJE/UBI/write2same/UPI--,TRANSFER TO 7382910045,1993.9,,-18739.04
20 Sep 2024,BY TRANSFER-UPI/CR/438419261618/MS SANJE/HDFC/anitapawar/Dr Re--,TRANSFER FROM 4897690162095,,4178.92,-14560.12
9 Sep 2024,BY TRANSFER-UPI/CR/491801198786/SAGAR MO/HDFC/write2same/Dr Re--,TRANSFER FROM 8974521398,,3611.13,-10948.99
11 Jul 2024,TO TRANSFER-UPI/DR/471398642824/ANITA P/ICIC/spawar3290/UPI--,TRANSFER TO 4897732162091,3465.81,,-14414.8
11 Sep 2024,BY TRANSFER-UPI/CR/467114359002/SAGAR MO/HDFC/rohit@okhdfc/Dr Re--,TRANSFER FROM 7382910045,,1190.83,-13223.97
21 Aug 2024,BY TRANSFER-UPI/CR/462408820906/SAGAR MO/YESB/rohit@okhdfc/Dr Re--,TRANSFER FROM 4897732162091,,740.94,-12483.03
26 Jul 2024,BY TRANSFER-UPI/CR/435564490970/SAGAR MO/PNB/rahuldixit/Dr Re--,TRANSFER FROM 7382910045,,3598.08,-8884.95
11 Sep 2024,BY TRANSFER-UPI/CR/415453151990/PRIYA K/YESB/rahuldixit/Dr Re--,TRANSFER FROM 4897690162095,,4404.82,-4480.13
30 Aug 2024,BY TRANSFER-UPI/CR/414256204564/SAGAR MO/SBIN/anitapawar/Dr Re--,TRANSFER FROM 7382910045,,3668.78,-811.35
29 Aug 2024,BY TRANSFER-UPI/CR/440297628186/RAHUL D/KKBK/spawar3290/Dr Re--,TRANSFER FROM 4897732162091,,1241.31,429.96
23 Sep 2024,BY TRANSFER-UPI/CR/449443577312/SANJEEV S/AXIS/write2same/Dr Re--,TRANSFER FROM 8974521398,,3696.97,4126.93
23 Sep 2024,TO TRANSFER-UPI/DR/448452918513/SANJEEV S/SBIN/write2same/UPI--,TRANSFER TO 8974521398,1585.26,,2541.67
29 Jul 2024,TO TRANSFER-UPI/DR/468381476843/RAHUL D/IDIB/spawar3290/UPI--,TRANSFER TO 9137022807,2530.76,,10.91
13 Sep 2024,TO TRANSFER-UPI/DR/436736786854/ANITA P/HDFC/rohit@okhdfc/UPI--,TRANSFER TO 8974521398,2815.07,,-2804.16
21 Jul 2024,TO TRANSFER-UPI/DR/434800896792/PRIYA K/SBIN/write2same/UPI--,TRANSFER TO 9137022807,3105.14,,-5909.3
10 Sep 2024,BY TRANSFER-UPI/CR/434183600701/SANJEEV S/PNB/write2same/Dr Re--,TRANSFER FROM 7382910045,,728.24,-5181.06
9 Sep 2024,BY TRANSFER-UPI/CR/486682938044/MS SANJE/BOI/anitapawar/Dr Re--,TRANSFER FROM 8974521398,,4087.63,-1093.43
2 Sep 2024,TO TRANSFER-UPI/DR/490877986080/ROHIT T/UBI/rohit@okhdfc/UPI--,TRANSFER TO 7382910045,2705.61,,-3799.04
