Value Date,Description,Ref No./Cheque No.,Debit,Credit,Balance
8 Jul 2024,BY TRANSFER-UPI/CR/411376605911/RAHUL D/IDIB/anitapawar/Dr Re--,TRANSFER FROM 8974521398,,3335.05,3679.04
7 Jul 2024,BY TRANSFER-UPI/CR/466404150036/ROHIT T/IDIB/anitapawar/Dr Re--,TRANSFER FROM 7382910045,,1702.26,5381.3
27 Sep 2024,TO TRANSFER-UPI/DR/402855531604/ROHIT T/ICIC/anitapawar/UPI--,TRANSFER TO 4897690162095,4257.5,,1123.8
16 Sep 2024,TO TRANSFER-UPI/DR/463705802659/ANITA P/IDIB/write2same/UPI--,TRANSFER TO 7382910045,2664.71,,-1540.91
21 Sep 2024,TO TRANSFER-UPI/DR/466279962149/SAGAR MO/ICIC/anitapawar/UPI--,TRANSFER TO 4897690162095,4082.42,,-5623.33
18 Sep 2024,BY TRANSFER-UPI/CR/437665682832/MS SANJE/KKBK/spawar3290/Dr Re--,TRANSFER FROM 7382910045,,2805.26,-2818.07
24 Jul 2024,TO TRANSFER-UPI/DR/476938494047/SAGAR MO/IDIB/anitapawar/UPI--,TRANSFER TO 9137022807,3328.05,,-6146.12
28 Sep 2024,BY TRANSFER-UPI/CR/441073853617/SAGAR MO/KKBK/rahuldixit/Dr Re--,TRANSFER FROM 8974521398,,609.53,-5536.59
29 Aug 2024,BY TRANSFER-UPI/CR/402288936941/PRIYA K/SBIN/anitapawar/Dr Re--,TRANSFER FROM 7382910045,,4872.27,-664.32
26 Jul 2024,BY TRANSFER-UPI/CR/435103904142/SAMEER S/IDIB/rahuldixit/Dr Re--,TRANSFER FROM 4897732162091,,1197.67,533.35
15 Sep 2024,TO TRANSFER-UPI/DR/490692238902/SAMEER S/KKBK/spawar3290/UPI--,TRANSFER TO 8974521398,2727.43,,-2194.08
24 Aug 2024,BY TRANSFER-UPI/CR/481351836325/SAGAR MO/SBIN/anitapawar/Dr Re--,TRANSFER FROM 4897690162095,,4991.11,2797.03
23 Jul 2024,BY TRANSFER-UPI/CR/487512284593/MS SANJE/ICIC/write2same/Dr Re--,TRANSFER FROM 8974521398,,3197.77,5994.8
15 Aug 2024,BY TRANSFER-UPI/CR/433948120696/RAHUL D/KKBK/write2same/Dr Re--,TRANSFER FROM 4897732162091,,3990.99,9985.79
18 Jul 2024,BY TRANSFER-UPI/CR/486771663971/SAMEER S/KKBK/write2same/Dr Re--,TRANSFER FROM 9137022807,,4488.46,14474.25
11 Aug 2024,TO TRANSFER-UPI/DR/424237991831/SAGAR MO/KKBK/rahuldixit/UPI--,TRANSFER TO 9137022807,878.82,,13595.43
22 Sep 2024,TO TRANSFER-UPI/DR/444776150140/ANITA P/ICIC/write2same/UPI--,TRANSFER TO 8974521398,1642.19,,11953.24
11 Sep 2024,BY TRANSFER-UPI/CR/411336229932/ANITA P/SBIN/rohit@okhdfc/Dr Re--,TRANSFER FROM 4897690162095,,4991.33,16944.57
20 Sep 2024,BY TRANSFER-UPI/CR/408365477657/SAGAR MO/KKBK/rahuldixit/Dr Re--,TRANSFER FROM 4897690162095,,2339.38,19283.95
1 Sep 2024,BY TRANSFER-UPI/CR/455247737428/ROHIT T/ICIC/rohit@okhdfc/Dr Re--,TRANSFER FROM 4897690162095,,837.43,20121.38
2 Sep 2024,TO TRANSFER-UPI/DR/433575403880/ANITA P/ICIC/spawar3290/UPI--,TRANSFER TO 8974521398,4019.35,,16102.03
13 Aug 2024,TO TRANSFER-UPI/DR/413449791133/SAMEER S/IDIB/anitapawar/UPI--,TRANSFER TO 7382910045,4350.12,,11751.91
18 Jul 2024,TO TRANSFER-UPI/DR/487776538355/ANITA P/IDIB/rohit@okhdfc/UPI--,TRANSFER TO 4897732162091,955.22,,10796.69
28 Jul 2024,BY TRANSFER-UPI/CR/400865133758/SAGAR MO/ICIC/write2same/Dr Re--,TRANSFER FROM 7382910045,,2107.07,12903.76
12 Jul 2024,BY TRANSFER-UPI/CR/453810976979/RAHUL D/SBIN/anitapawar/Dr Re--,TRANSFER FROM 4897690162095,,326.98,13230.74
10 Sep 2024,TO TRANSFER-UPI/DR/426154923797/SAMEER S/HDFC/spawar3290/UPI--,TRANSFER TO 7382910045,2258.19,,10972.55
16 Jul 2024,BY TRANSFER-UPI/CR/424081290898/PRIYA K/ICIC/anitapawar/Dr Re--,TRANSFER FROM 7382910045,,1876.7,12849.25
29 Sep 2024,TO TRANSFER-UPI/DR/478464063017/RAHUL D/KKBK/spawar3290/UPI--,TRANSFER TO 4897732162091,1064.56,,11784.69
13 Sep 2024,TO TRANSFER-UPI/DR/457118254347/RAHUL D/SBIN/spawar3290/UPI--,TRANSFER TO 8974521398,2149.71,,9634.98
30 Jul 2024,BY TRANSFER-UPI/CR/492251547833/ROHIT T/HDFC/spawar3290/Dr Re--,TRANSFER FROM 4897690162095,,1827.43,11462.41
22 Aug 2024,BY TRANSFER-UPI/CR/415452634533/MS SANJE/ICIC/rahuldixit/Dr Re--,TRANSFER FROM 8974521398,,2319.8,13782.21
4 Aug 2024,BY TRANSFER-UPI/CR/458284792584/SAMEER S/KKBK/rohit@okhdfc/Dr Re--,TRANSFER FROM 7382910045,,2919.85,16702.06
2 Jul 2024,BY TRANSFER-UPI/CR/484410902032/ROHIT T/SBIN/write2same/Dr Re--,TRANSFER FROM 8974521398,,109.19,16811.25
30 Aug 2024,TO TRANSFER-UPI/DR/464350693456/RAHUL D/SBIN/rahuldixit/UPI--,TRANSFER TO 8974521398,895.49,,15915.76
8 Aug 2024,BY TRANSFER-UPI/CR/410551389816/SAMEER S/ICIC/rahuldixit/Dr Re--,TRANSFER FROM 9137022807,,3281.19,19196.95
4 Aug 2024,TO TRANSFER-UPI/DR/432507950963/ROHIT T/ICIC/spawar3290/UPI--,TRANSFER TO 8974521398,900.36,,18296.59
21 Sep 2024,BY TRANSFER-UPI/CR/497906054052/RAHUL D/HDFC/spawar3290/Dr Re--,TRANSFER FROM 4897690162095,,1612.55,19909.14
9 Jul 2024,BY TRANSFER-UPI/CR/447550602813/PRIYA K/ICIC/anitapawar/Dr Re--,TRANSFER FROM 9137022807,,2364.64,22273.78
1 Aug 2024,TO TRANSFER-UPI/DR/497521042931/SAMEER S/HDFC/write2same/UPI--,TRANSFER TO 4897732162091,4329.26,,17944.52
25 Aug 2024,BY TRANSFER-UPI/CR/475899149198/MS SANJE/SBIN/rohit@okhdfc/Dr Re--,TRANSFER FROM 4897732162091,,598.95,18543.47
14 Jul 2024,BY TRANSFER-UPI/CR/489694598903/ANITA P/ICIC/rohit@okhdfc/Dr Re--,TRANSFER FROM 9137022807,,1974.71,20518.18
27 Aug 2024,BY TRANSFER-UPI/CR/440649946832/ROHIT T/HDFC/spawar3290/Dr Re--,TRANSFER FROM 4897732162091,,1876.77,22394.95
6 Sep 2024,BY TRANSFER-UPI/CR/497553884290/SAMEER S/HDFC/rohit@okhdfc/Dr Re--,TRANSFER FROM 7382910045,,1713.22,24108.17
7 Aug 2024,TO TRANSFER-UPI/DR/449728719273/RAHUL D/ICIC/rohit@okhdfc/UPI--,TRANSFER TO 7382910045,1733.9,,22374.27
13 Aug 2024,TO TRANSFER-UPI/DR/460081963817/SAMEER S/ICIC/rahuldixit/UPI--,TRANSFER TO 4897732162091,118.05,,22256.22
27 Aug 2024,TO TRANSFER-UPI/DR/495426950128/SAMEER S/SBIN/rahuldixit/UPI--,TRANSFER TO 9137022807,4801.67,,17454.55
11 Aug 2024,TO TRANSFER-UPI/DR/418711947745/MS SANJE/HDFC/rohit@okhdfc/UPI--,TRANSFER TO 4897732162091,329.71,,17124.84
17 Sep 2024,TO TRANSFER-UPI/DR/468733994415/SAGAR MO/KKBK/spawar3290/UPI--,TRANSFER TO 4897732162091,384.92,,16739.92
8 Jul 2024,TO TRANSFER-UPI/DR/457870358741/RAHUL D/SBIN/anitapawar/UPI--,TRANSFER TO 7382910045,4773.55,,11966.37
19 Sep 2024,BY TRANSFER-UPI/CR/419510066076/RAHUL D/SBIN/rahuldixit/Dr Re--,TRANSFER FROM 8974521398,,2844.29,14810.66
20 Sep 2024,TO TRANSFER-UPI/DR/471232626202/RAHUL D/IDIB/write2same/UPI--,TRANSFER TO 4897690162095,208.38,,14602.28
22 Aug 2024,BY TRANSFER-UPI/CR/435162272743/ANITA P/KKBK/rohit@okhdfc/Dr Re--,TRANSFER FROM 4897732162091,,1128.95,15731.23
18 Jul 2024,BY TRANSFER-UPI/CR/431893974865/RAHUL D/HDFC/spawar3290/Dr Re--,TRANSFER FROM 9137022807,,224.53,15955.76
28 Jul 2024,BY TRANSFER-UPI/CR/426452527422/ANITA P/KKBK/anitapawar/Dr Re--,TRANSFER FROM 4897690162095,,780.12,16735.88
29 Jul 2024,BY TRANSFER-UPI/CR/435455090987/MS SANJE/HDFC/anitapawar/Dr Re--,TRANSFER FROM 4897690162095,,4926.64,21662.52
29 Sep 2024,TO TRANSFER-UPI/DR/447100965132/MS SANJE/SBIN/write2same/UPI--,TRANSFER TO 7382910045,2529.81,,19132.71
9 Sep 2024,TO TRANSFER-UPI/DR/498030591272/RAHUL D/HDFC/anitapawar/UPI--,TRANSFER TO 7382910045,2425.46,,16707.25
2 Sep 2024,BY TRANSFER-UPI/CR/455561517442/PRIYA K/SBIN/spawar3290/Dr Re--,TRANSFER FROM 9137022807,,1005.91,17713.16
30 Aug 2024,TO TRANSFER-UPI/DR/430238887288/SAMEER S/ICIC/anitapawar/UPI--,TRANSFER TO 4897732162091,2088.51,,15624.65
27 Aug 2024,BY TRANSFER-UPI/CR/426661317953/SAMEER S/HDFC/rohit@okhdfc/Dr Re--,TRANSFER FROM 4897732162091,,2710.38,18335.03
29 Sep 2024,TO TRANSFER-UPI/DR/407102506059/RAHUL D/HDFC/rohit@okhdfc/UPI--,TRANSFER TO 4897690162095,3384.57,,14950.46
6 Sep 2024,BY TRANSFER-UPI/CR/414362114260/ANITA P/KKBK/rahuldixit/Dr Re--,TRANSFER FROM 9137022807,,3265.21,18215.67
24 Sep 2024,BY TRANSFER-UPI/CR/407966767806/PRIYA K/KKBK/spawar3290/Dr Re--,TRANSFER FROM 8974521398,,2673.61,20889.28
26 Aug 2024,BY TRANSFER-UPI/CR/434674981790/RAHUL D/HDFC/rohit@okhdfc/Dr Re--,TRANSFER FROM 9137022807,,3023.65,23912.93
31 Aug 2024,TO TRANSFER-UPI/DR/452276213270/ROHIT T/KKBK/write2same/UPI--,TRANSFER TO 4897732162091,892.87,,23020.06
11 Jul 2024,BY TRANSFER-UPI/CR/476849131154/MS SANJE/SBIN/write2same/Dr Re--,TRANSFER FROM 9137022807,,4938.8,27958.86
22 Aug 2024,BY TRANSFER-UPI/CR/487449136601/MS SANJE/KKBK/rahuldixit/Dr Re--,TRANSFER FROM 9137022807,,2353.81,30312.67
29 Sep 2024,TO TRANSFER-UPI/DR/495627070585/ANITA P/ICIC/anitapawar/UPI--,TRANSFER TO 7382910045,3269.16,,27043.51
25 Jul 2024,TO TRANSFER-UPI/DR/440535627468/ANITA P/HDFC/rohit@okhdfc/UPI--,TRANSFER TO 7382910045,934.72,,26108.79
1 Jul 2024,BY TRANSFER-UPI/CR/408407204838/MS SANJE/IDIB/spawar3290/Dr Re--,TRANSFER FROM 4897690162095,,2213.96,28322.75
4 Aug 2024,TO TRANSFER-UPI/DR/407904824624/RAHUL D/SBIN/rohit@okhdfc/UPI--,TRANSFER TO 7382910045,1219.88,,27102.87
22 Sep 2024,BY TRANSFER-UPI/CR/454136983253/RAHUL D/IDIB/rahuldixit/Dr Re--,TRANSFER FROM 8974521398,,3914.77,31017.64
29 Sep 2024,TO TRANSFER-UPI/DR/420013431343/ROHIT T/SBIN/anitapawar/UPI--,TRANSFER TO 9137022807,4853.4,,26164.24
16 Sep 2024,TO TRANSFER-UPI/DR/439576770215/ROHIT T/HDFC/anitapawar/UPI--,TRANSFER TO 4897732162091,4896.06,,21268.18
26 Sep 2024,TO TRANSFER-UPI/DR/450265202679/RAHUL D/SBIN/write2same/UPI--,TRANSFER TO 7382910045,4094.9,,17173.28
6 Aug 2024,BY TRANSFER-UPI/CR/471852790475/SAGAR MO/ICIC/spawar3290/Dr Re--,TRANSFER FROM 7382910045,,4377.99,21551.27
14 Aug 2024,TO TRANSFER-UPI/DR/478926035906/PRIYA K/ICIC/rahuldixit/UPI--,TRANSFER TO 4897690162095,2321.64,,19229.63
