Value Date,Description,Ref No./Cheque No.,Debit,Credit,Balance
18 Jul 2024,BY TRANSFER-UPI/CR/441908163618/MS SANJE/UBI/anitapawar/Dr Re--,TRANSFER FROM 8974521398,,4228.25,14381.75
18 Jul 2024,BY TRANSFER-UPI/CR/481295746936/SAGAR MO/BOI/spawar3290/Dr Re--,TRANSFER FROM 9137022807,,2524.68,16906.43
15 Sep 2024,TO TRANSFER-UPI/DR/437787962021/ANITA P/AXIS/rohit@okhdfc/UPI--,TRANSFER TO 7382910045,1363.46,,15542.97
10 Sep 2024,BY TRANSFER-UPI/CR/490877232597/ANITA P/BOI/spawar3290/Dr Re--,TRANSFER FROM 8974521398,,393.97,15936.94
14 Aug 2024,BY TRANSFER-UPI/CR/419234755430/PRIYA K/IDIB/rohit@okhdfc/Dr Re--,TRANSFER FROM 4897690162095,,859.88,16796.82
2 Sep 2024,TO TRANSFER-UPI/DR/421742178204/PRIYA K/SBIN/anitapawar/UPI--,TRANSFER TO 8974521398,3514.62,,13282.2
9 Sep 2024,BY TRANSFER-UPI/CR/439696437561/PRIYA K/KKBK/spawar3290/Dr Re--,TRANSFER FROM 4897690162095,,2174.48,15456.68
15 Sep 2024,TO TRANSFER-UPI/DR/465937192816/ANITA P/UBI/write2same/UPI--,TRANSFER TO 7382910045,3492.68,,11964.0
14 Sep 2024,BY TRANSFER-UPI/CR/420532078331/RAHUL D/HDFC/spawar3290/Dr Re--,TRANSFER FROM 4897732162091,,3544.11,15508.11
9 Sep 2024,BY TRANSFER-UPI/CR/426371626833/SANJEEV S/AXIS/rahuldixit/Dr Re--,TRANSFER FROM 8974521398,,2406.49,17914.6
22 Sep 2024,BY TRANSFER-UPI/CR/475419525898/ROHIT T/AXIS/write2same/Dr Re--,TRANSFER FROM 4897690162095,,3860.47,21775.07
23 Sep 2024,TO TRANSFER-UPI/DR/417551278975/MS SANJE/UBI/spawar3290/UPI--,TRANSFER TO 8974521398,1951.38,,19823.69
26 Jul 2024,BY TRANSFER-UPI/CR/451226650165/ROHIT T/PNB/anitapawar/Dr Re--,TRANSFER FROM 4897690162095,,1281.78,21105.47
21 Jul 2024,BY TRANSFER-UPI/CR/424801878658/ROHIT T/PNB/write2same/Dr Re--,TRANSFER FROM 4897732162091,,2864.59,23970.06
9 Aug 2024,BY TRANSFER-UPI/CR/433415054739/ANITA P/IDIB/rohit@okhdfc/Dr Re--,TRANSFER FROM 4897732162091,,2388.94,26359.0
29 Jul 2024,BY TRANSFER-UPI/CR/426939366263/ROHIT T/IDIB/anitapawar/Dr Re--,TRANSFER FROM 7382910045,,2155.44,28514.44
21 Jul 2024,TO TRANSFER-UPI/DR/436715675524/MS SANJE/PNB/rahuldixit/UPI--,TRANSFER TO 4897732162091,849.71,,27664.73
15 Aug 2024,TO TRANSFER-UPI/DR/441508689522/SANJEEV S/HDFC/write2same/UPI--,TRANSFER TO 4897690162095,1331.9,,26332.83
26 Sep 2024,TO TRANSFER-UPI/DR/434277438322/ROHIT T/SBIN/write2same/UPI--,TRANSFER TO 9137022807,3770.6,,22562.23
9 Sep 2024,BY TRANSFER-UPI/CR/426858372677/MS SANJE/UBI/rohit@okhdfc/Dr Re--,TRANSFER FROM 4897690162095,,3964.18,26526.41
23 Aug 2024,TO TRANSFER-UPI/DR/421548772130/SAGAR MO/PNB/rohit@okhdfc/UPI--,TRANSFER TO 7382910045,2948.81,,23577.6
11 Aug 2024,BY TRANSFER-UPI/CR/403453989445/ANITA P/YESB/rahuldixit/Dr Re--,TRANSFER FROM 9137022807,,2714.34,26291.94
26 Aug 2024,TO TRANSFER-UPI/DR/411586851619/PRIYA K/HDFC/write2same/UPI--,TRANSFER TO 8974521398,3348.22,,22943.72
20 Sep 2024,BY TRANSFER-UPI/CR/491694772716/SAGAR MO/PNB/anitapawar/Dr Re--,TRANSFER FROM 8974521398,,3446.52,26390.24
2 Jul 2024,BY TRANSFER-UPI/CR/411389976801/PRIYA K/AXIS/rohit@okhdfc/Dr Re--,TRANSFER FROM 9137022807,,232.14,26622.38
30 Sep 2024,BY TRANSFER-UPI/CR/491710854306/RAHUL D/YESB/write2same/Dr Re--,TRANSFER FROM 4897732162091,,2671.61,29293.99
27 Jul 2024,BY TRANSFER-UPI/CR/418610924650/ANITA P/ICIC/spawar3290/Dr Re--,TRANSFER FROM 8974521398,,4830.49,34124.48
21 Jul 2024,TO TRANSFER-UPI/DR/411603009420/PRIYA K/YESB/anitapawar/UPI--,TRANSFER TO 4897690162095,242.82,,33881.66
3 Sep 2024,TO TRANSFER-UPI/DR/476212576070/ANITA P/BOI/rohit@okhdfc/UPI--,TRANSFER TO 4897732162091,756.64,,33125.02
4 Aug 2024,BY TRANSFER-UPI/CR/423421009500/RAHUL D/PNB/rohit@okhdfc/Dr Re--,TRANSFER FROM 8974521398,,1085.76,34210.78
2 Jul 2024,BY TRANSFER-UPI/CR/483111962887/PRIYA K/BOI/rohit@okhdfc/Dr Re--,TRANSFER FROM 9137022807,,4534.13,38744.91
7 Aug 2024,BY TRANSFER-UPI/CR/472630332591/SANJEEV S/KKBK/anitapawar/Dr Re--,TRANSFER FROM 4897732162091,,3932.56,42677.47
29 Jul 2024,TO TRANSFER-UPI/DR/495708118715/MS SANJE/PNB/write2same/UPI--,TRANSFER TO 8974521398,3436.54,,39240.93
6 Aug 2024,TO TRANSFER-UPI/DR/469132271256/ROHIT T/ICIC/anitapawar/UPI--,TRANSFER TO 4897690162095,4584.46,,34656.47
15 Aug 2024,TO TRANSFER-UPI/DR/401537954355/ANITA P/UBI/spawar3290/UPI--,TRANSFER TO 8974521398,2155.98,,32500.49
26 Jul 2024,TO TRANSFER-UPI/DR/412002636059/SAGAR MO/ICIC/rahuldixit/UPI--,TRANSFER TO 8974521398,4957.91,,27542.58
29 Aug 2024,BY TRANSFER-UPI/CR/417168961099/ROHIT T/IDIB/rahuldixit/Dr Re--,TRANSFER FROM 7382910045,,843.98,28386.56
31 Aug 2024,BY TRANSFER-UPI/CR/436898956460/PRIYA K/UBI/anitapawar/Dr Re--,TRANSFER FROM 4897732162091,,520.23,28906.79
1 Jul 2024,TO TRANSFER-UPI/DR/472342165545/ROHIT T/ICIC/anitapawar/UPI--,TRANSFER TO 4897690162095,732.08,,28174.71
13 Jul 2024,BY TRANSFER-UPI/CR/490308446323/ANITA P/IDIB/rohit@okhdfc/Dr Re--,TRANSFER FROM 7382910045,,2168.32,30343.03
26 Sep 2024,TO TRANSFER-UPI/DR/468049889208/PRIYA K/AXIS/spawar3290/UPI--,TRANSFER TO 4897690162095,2544.48,,27798.55
5 Jul 2024,TO TRANSFER-UPI/DR/478326137407/SAGAR MO/KKBK/spawar3290/UPI--,TRANSFER TO 8974521398,1136.7,,26661.85
28 Jul 2024,BY TRANSFER-UPI/CR/497134325262/SAGAR MO/HDFC/rahuldixit/Dr Re--,TRANSFER FROM 9137022807,,2440.57,29102.42
1 Jul 2024,BY TRANSFER-UPI/CR/493287259476/MS SANJE/ICIC/write2same/Dr Re--,TRANSFER FROM 4897690162095,,416.42,29518.84
29 Aug 2024,BY TRANSFER-UPI/CR/409067788103/SANJEEV S/IDIB/anitapawar/Dr Re--,TRANSFER FROM 9137022807,,2239.74,31758.58
4 Sep 2024,BY TRANSFER-UPI/CR/442270644305/ROHIT T/PNB/write2same/Dr Re--,TRANSFER FROM 7382910045,,257.7,32016.28
11 Aug 2024,TO TRANSFER-UPI/DR/417564268430/MS SANJE/UBI/anitapawar/UPI--,TRANSFER TO 4897732162091,2137.15,,29879.13
9 Jul 2024,TO TRANSFER-UPI/DR/474481686087/RAHUL D/BOI/rahuldixit/UPI--,TRANSFER TO 7382910045,1486.2,,28392.93
27 Jul 2024,BY TRANSFER-UPI/CR/435283864001/MS SANJE/AXIS/spawar3290/Dr Re--,TRANSFER FROM 4897690162095,,2452.64,30845.57
4 Sep 2024,TO TRANSFER-UPI/DR/478416901551/MS SANJE/SBIN/rohit@okhdfc/UPI--,TRANSFER TO 8974521398,1922.37,,28923.2
11 Aug 2024,TO TRANSFER-UPI/DR/490058113322/SAGAR MO/IDIB/anitapawar/UPI--,TRANSFER TO 7382910045,3499.81,,25423.39
23 Aug 2024,BY TRANSFER-UPI/CR/459865210407/SANJEEV S/AXIS/rahuldixit/Dr Re--,TRANSFER FROM 7382910045,,654.96,26078.35
8 Jul 2024,TO TRANSFER-UPI/DR/475600184357/MS SANJE/UBI/rahuldixit/UPI--,TRANSFER TO 9137022807,4407.66,,21670.69
5 Jul 2024,TO TRANSFER-UPI/DR/493935997758/PRIYA K/ICIC/rahuldixit/UPI--,TRANSFER TO 8974521398,3205.93,,18464.76
4 Aug 2024,BY TRANSFER-UPI/CR/416155242502/SANJEEV S/IDIB/spawar3290/Dr Re--,TRANSFER FROM 8974521398,,1028.21,19492.97
13 Sep 2024,TO TRANSFER-UPI/DR/413052900246/RAHUL D/PNB/rohit@okhdfc/UPI--,TRANSFER TO 9137022807,344.73,,19148.24
19 Sep 2024,TO TRANSFER-UPI/DR/413448614323/ROHIT T/IDIB/write2same/UPI--,TRANSFER TO 9137022807,4734.0,,14414.24
27 Jul 2024,TO TRANSFER-UPI/DR/485679282394/SAGAR MO/KKBK/rohit@okhdfc/UPI--,TRANSFER TO 8974521398,4717.06,,9697.18
28 Jul 2024,TO TRANSFER-UPI/DR/410977742552/ANITA P/IDIB/spawar3290/UPI--,TRANSFER TO 8974521398,1549.62,,8147.56
14 Jul 2024,TO TRANSFER-UPI/DR/451272847370/SAGAR MO/UBI/anitapawar/UPI--,TRANSFER TO 9137022807,503.69,,7643.87
18 Aug 2024,TO TRANSFER-UPI/DR/465930681314/MS SANJE/ICIC/write2same/UPI--,TRANSFER TO 7382910045,2981.72,,4662.15
29 Jul 2024,BY TRANSFER-UPI/CR/412890383748/ANITA P/PNB/anitapawar/Dr Re--,TRANSFER FROM 9137022807,,4015.83,8677.98
20 Sep 2024,TO TRANSFER-UPI/DR/468232523491/PRIYA K/PNB/spawar3290/UPI--,TRANSFER TO 7382910045,3007.34,,5670.64
2 Aug 2024,BY TRANSFER-UPI/CR/469160850197/SAGAR MO/SBIN/rahuldixit/Dr Re--,TRANSFER FROM 8974521398,,4369.55,10040.19
15 Aug 2024,TO TRANSFER-UPI/DR/437254699010/PRIYA K/IDIB/anitapawar/UPI--,TRANSFER TO 4897690162095,1366.11,,8674.08
5 Sep 2024,BY TRANSFER-UPI/CR/474296372459/SANJEEV S/AXIS/anitapawar/Dr Re--,TRANSFER FROM 8974521398,,3377.66,12051.74
11 Aug 2024,BY TRANSFER-UPI/CR/493820328278/RAHUL D/PNB/write2same/Dr Re--,TRANSFER FROM 8974521398,,523.33,12575.07
13 Jul 2024,BY TRANSFER-UPI/CR/433569495220/RAHUL D/BOI/write2same/Dr Re--,TRANSFER FROM 7382910045,,4244.87,16819.94
19 Sep 2024,BY TRANSFER-UPI/CR/430703144729/SAGAR MO/IDIB/rahuldixit/Dr Re--,TRANSFER FROM 4897732162091,,1999.49,18819.43
16 Jul 2024,BY TRANSFER-UPI/CR/493234464478/RAHUL D/BOI/spawar3290/Dr Re--,TRANSFER FROM 4897690162095,,402.03,19221.46
17 Sep 2024,TO TRANSFER-UPI/DR/451638903184/MS SANJE/YESB/anitapawar/UPI--,TRANSFER TO 4897690162095,4819.57,,14401.89
19 Aug 2024,TO TRANSFER-UPI/DR/411640766256/PRIYA K/BOI/spawar3290/UPI--,TRANSFER TO 8974521398,1657.42,,12744.47
8 Sep 2024,BY TRANSFER-UPI/CR/462149146450/ROHIT T/ICIC/write2same/Dr Re--,TRANSFER FROM 4897732162091,,89.09,12833.56
25 Sep 2024,TO TRANSFER-UPI/DR/499435614448/ROHIT T/UBI/anitapawar/UPI--,TRANSFER TO 4897732162091,480.94,,12352.62
4 Aug 2024,BY TRANSFER-UPI/CR/420533535743/ROHIT T/HDFC/rohit@okhdfc/Dr Re--,TRANSFER FROM 8974521398,,735.02,13087.64
11 Aug 2024,BY TRANSFER-UPI/CR/419952172173/RAHUL D/PNB/spawar3290/Dr Re--,TRANSFER FROM 7382910045,,3769.02,16856.66
18 Aug 2024,TO TRANSFER-UPI/DR/425901634698/PRIYA K/AXIS/rahuldixit/UPI--,TRANSFER TO 9137022807,4503.36,,12353.3
20 Sep 2024,BY TRANSFER-UPI/CR/418770968499/MS SANJE/UBI/anitapawar/Dr Re--,TRANSFER FROM 7382910045,,3255.43,15608.73
30 Sep 2024,BY TRANSFER-UPI/CR/439138396493/ROHIT T/ICIC/rahuldixit/Dr Re--,TRANSFER FROM 9137022807,,3996.96,19605.69
7 Jul 2024,BY TRANSFER-UPI/CR/442999465754/ANITA P/SBIN/rahuldixit/Dr Re--,TRANSFER FROM 8974521398,,1347.65,20953.34
15 Jul 2024,BY TRANSFER-UPI/CR/416987640831/ANITA P/ICIC/spawar3290/Dr Re--,TRANSFER FROM 8974521398,,2110.65,23063.99
26 Jul 2024,TO TRANSFER-UPI/DR/480251072102/ANITA P/AXIS/write2same/UPI--,TRANSFER TO 4897732162091,2237.85,,20826.14
4 Aug 2024,TO TRANSFER-UPI/DR/444936504854/ANITA P/YESB/spawar3290/UPI--,TRANSFER TO 9137022807,2137.81,,18688.33
