Value Date,Description,Ref No./Cheque No.,Debit,Credit,Balance
7 Aug 2024,TO TRANSFER-UPI/DR/485948944675/SAGAR MO/IDIB/flipkart@okaxis/UPI--,TRANSFER TO 9137022807,1569.37,,-17654.96
10 Aug 2024,BY TRANSFER-UPI/CR/455657902802/SAGAR MO/IDIB/paytm@okhdfc/Dr Re--,TRANSFER FROM 7382910045,,2396.47,-15258.49
6 Aug 2024,BY TRANSFER-UPI/CR/434009172904/RAHUL D/IDIB/gpay@okicici/Dr Re--,TRANSFER FROM 4897690162095,,4601.9,-10656.59
9 Jul 2024,BY TRANSFER-UPI/CR/435346755465/MS SANJE/BOI/flipkart@okaxis/Dr Re--,TRANSFER FROM 7382910045,,2537.14,-8119.45
29 Sep 2024,TO TRANSFER-UPI/DR/453369794499/ANITA P/YESB/swiggy@okhdfc/UPI--,TRANSFER TO 8974521398,496.16,,-8615.61
22 Jul 2024,BY TRANSFER-UPI/CR/425149292529/SANJEEV S/AXIS/write2same/Dr Re--,TRANSFER FROM 9137022807,,639.95,-7975.66
27 Jul 2024,BY TRANSFER-UPI/CR/457787666278/SAGAR MO/YESB/gpay@okicici/Dr Re--,TRANSFER FROM 8974521398,,1336.87,-6638.79
21 Aug 2024,BY TRANSFER-UPI/CR/415443274700/SANJEEV S/YESB/electricity@okupi/Dr Re--,TRANSFER FROM 7382910045,,1358.36,-5280.43
17 Jul 2024,TO TRANSFER-UPI/DR/412558364415/ROHIT T/HDFC/uber@okaxis/UPI--,TRANSFER TO 9137022807,4364.26,,-9644.69
12 Jul 2024,TO TRANSFER-UPI/DR/496532625577/SANJEEV S/IDIB/spawar3290/UPI--,TRANSFER TO 4897690162095,842.44,,-10487.13
5 Jul 2024,TO TRANSFER-UPI/DR/449426936434/SAGAR MO/YESB/write2same/UPI--,TRANSFER TO 4897732162091,2868.14,,-13355.27
8 Jul 2024,TO TRANSFER-UPI/DR/464326732266/RAHUL D/BOI/bigbasket@okhdfc/UPI--,TRANSFER TO 4897690162095,3008.63,,-16363.9
17 Sep 2024,BY TRANSFER-UPI/CR/491876346280/ANITA P/AXIS/zomato@okaxis/Dr Re--,TRANSFER FROM 9137022807,,3515.99,-12847.91
13 Jul 2024,BY TRANSFER-UPI/CR/440208485471/SAGAR MO/HDFC/uber@okaxis/Dr Re--,TRANSFER FROM 4897690162095,,2727.73,-10120.18
16 Jul 2024,TO TRANSFER-UPI/DR/453931884420/SANJEEV S/AXIS/spotify@okaxis/UPI--,TRANSFER TO 8974521398,510.93,,-10631.11
26 Sep 2024,TO TRANSFER-UPI/DR/440275674766/ANITA P/AXIS/bigbasket@okhdfc/UPI--,TRANSFER TO 8974521398,576.04,,-11207.15
22 Aug 2024,TO TRANSFER-UPI/DR/446798498868/SANJEEV S/BOI/netflix@okhdfc/UPI--,TRANSFER TO 4897732162091,186.99,,-11394.14
13 Jul 2024,TO TRANSFER-UPI/DR/454893603159/MS SANJE/PNB/write2same/UPI--,TRANSFER TO 9137022807,2324.84,,-13718.98
11 Aug 2024,TO TRANSFER-UPI/DR/473617355784/SANJEEV S/HDFC/spawar3290/UPI--,TRANSFER TO 8974521398,1967.09,,-15686.07
6 Sep 2024,BY TRANSFER-UPI/CR/454203812613/ANITA P/IDIB/spotify@okaxis/Dr Re--,TRANSFER FROM 9137022807,,1984.87,-13701.2
18 Jul 2024,BY TRANSFER-UPI/CR/445591516664/SAGAR MO/AXIS/uber@okaxis/Dr Re--,TRANSFER FROM 8974521398,,3424.86,-10276.34
16 Sep 2024,BY TRANSFER-UPI/CR/468141026151/PRIYA K/KKBK/swiggy@okhdfc/Dr Re--,TRANSFER FROM 4897690162095,,1280.74,-8995.6
25 Jul 2024,TO TRANSFER-UPI/DR/447264453024/SANJEEV S/PNB/electricity@okupi/UPI--,TRANSFER TO 4897732162091,421.49,,-9417.09
11 Jul 2024,BY TRANSFER-UPI/CR/499473772354/ROHIT T/BOI/amazon@okicici/Dr Re--,TRANSFER FROM 9137022807,,2130.8,-7286.29
17 Jul 2024,BY TRANSFER-UPI/CR/415997835582/SANJEEV S/HDFC/dmart@okicici/Dr Re--,TRANSFER FROM 7382910045,,4469.19,-2817.1
18 Sep 2024,BY TRANSFER-UPI/CR/487675506553/SANJEEV S/KKBK/netflix@okhdfc/Dr Re--,TRANSFER FROM 4897690162095,,972.56,-1844.54
1 Aug 2024,TO TRANSFER-UPI/DR/438046226211/SANJEEV S/UBI/amazon@okicici/UPI--,TRANSFER TO 4897732162091,2895.91,,-4740.45
5 Aug 2024,BY TRANSFER-UPI/CR/464690376783/MS SANJE/YESB/gasbill@okaxis/Dr Re--,TRANSFER FROM 4897732162091,,4578.56,-161.89
12 Sep 2024,TO TRANSFER-UPI/DR/432642986923/PRIYA K/HDFC/dmart@okicici/UPI--,TRANSFER TO 4897732162091,1518.94,,-1680.83
12 Jul 2024,BY TRANSFER-UPI/CR/467707496078/MS SANJE/SBIN/uber@okaxis/Dr Re--,TRANSFER FROM 8974521398,,2307.77,626.94
7 Sep 2024,BY TRANSFER-UPI/CR/445225384269/SANJEEV S/ICIC/electricity@okupi/Dr Re--,TRANSFER FROM 9137022807,,4830.46,5457.4
5 Sep 2024,BY TRANSFER-UPI/CR/431848617049/SAGAR MO/KKBK/rahuldixit/Dr Re--,TRANSFER FROM 8974521398,,3060.45,8517.85
6 Jul 2024,BY TRANSFER-UPI/CR/464834725675/PRIYA K/UBI/gpay@okicici/Dr Re--,TRANSFER FROM 8974521398,,1667.52,10185.37
4 Aug 2024,TO TRANSFER-UPI/DR/475978153979/ANITA P/YESB/amazon@okicici/UPI--,TRANSFER TO 9137022807,3931.04,,6254.33
25 Aug 2024,TO TRANSFER-UPI/DR/457172074756/SANJEEV S/PNB/write2same/UPI--,TRANSFER TO 8974521398,1034.42,,5219.91
26 Aug 2024,BY TRANSFER-UPI/CR/429529019677/SANJEEV S/YESB/gasbill@okaxis/Dr Re--,TRANSFER FROM 4897690162095,,3935.02,9154.93
29 Aug 2024,TO TRANSFER-UPI/DR/432435726619/SANJEEV S/UBI/zomato@okaxis/UPI--,TRANSFER TO 8974521398,2483.98,,6670.95
2 Sep 2024,TO TRANSFER-UPI/DR/480822945059/SANJEEV S/AXIS/dmart@okicici/UPI--,TRANSFER TO 4897690162095,1204.77,,5466.18
4 Jul 2024,BY TRANSFER-UPI/CR/486759658809/SANJEEV S/SBIN/spotify@okaxis/Dr Re--,TRANSFER FROM 9137022807,,3702.38,9168.56
24 Jul 2024,BY TRANSFER-UPI/CR/429205568010/RAHUL D/PNB/rahuldixit/Dr Re--,TRANSFER FROM 9137022807,,3185.45,12354.01
10 Aug 2024,BY TRANSFER-UPI/CR/488895790751/ANITA P/KKBK/flipkart@okaxis/Dr Re--,TRANSFER FROM 8974521398,,3631.76,15985.77
4 Sep 2024,BY TRANSFER-UPI/CR/417142168143/ROHIT T/UBI/rahuldixit/Dr Re--,TRANSFER FROM 8974521398,,3208.27,19194.04
15 Aug 2024,BY TRANSFER-UPI/CR/440886291223/ANITA P/YESB/netflix@okhdfc/Dr Re--,TRANSFER FROM 9137022807,,2032.03,21226.07
17 Jul 2024,TO TRANSFER-UPI/DR/444084181815/SANJEEV S/BOI/gasbill@okaxis/UPI--,TRANSFER TO 4897732162091,4902.0,,16324.07
19 Sep 2024,TO TRANSFER-UPI/DR/447337422623/SAGAR MO/HDFC/flipkart@okaxis/UPI--,TRANSFER TO 8974521398,3181.91,,13142.16
21 Jul 2024,BY TRANSFER-UPI/CR/416767328168/ANITA P/AXIS/gpay@okicici/Dr Re--,TRANSFER FROM 7382910045,,1398.07,14540.23
6 Aug 2024,BY TRANSFER-UPI/CR/485475072033/SANJEEV S/YESB/uber@okaxis/Dr Re--,TRANSFER FROM 4897690162095,,1137.65,15677.88
11 Aug 2024,BY TRANSFER-UPI/CR/461125613039/PRIYA K/SBIN/bigbasket@okhdfc/Dr Re--,TRANSFER FROM 7382910045,,551.14,16229.02
26 Jul 2024,BY TRANSFER-UPI/CR/442273177007/MS SANJE/KKBK/flipkart@okaxis/Dr Re--,TRANSFER FROM 8974521398,,2568.27,18797.29
23 Jul 2024,BY TRANSFER-UPI/CR/497494944682/ANITA P/HDFC/amazon@okicici/Dr Re--,TRANSFER FROM 9137022807,,4102.11,22899.4
7 Aug 2024,TO TRANSFER-UPI/DR/458785240820/SAGAR MO/ICIC/spotify@okaxis/UPI--,TRANSFER TO 7382910045,302.09,,22597.31
